sigma,1st percentile,5th percentile,median,95th percentile,99th percentile,average
0.0,29457.025063071414,29457.025063071414,29457.025063071414,29457.025063071414,29457.025063071414,29457.025063071404
0.01,25065.616478104952,26266.46083141765,29393.356838250227,32724.51366044708,34097.06676697509,29479.193030683895
0.02,21209.581463391976,23290.051061345403,29475.001074943837,36045.932024918235,39430.73795466273,29452.518782614585
0.03,18036.36174460571,20987.910810903442,28843.476316840613,39765.874308926854,44820.25524692412,29361.208488960157
0.04,16096.797561277735,18688.508629545555,28328.253383707393,44304.282985435595,53244.50134442489,29488.049249518623
0.05,13129.970510107123,16492.67389152232,27914.452004911,48050.69542000927,58443.63972313423,29536.6669442387
0.06,11222.644255759049,13927.953867896176,27114.8878832808,53397.55337046123,70345.21451145537,29550.581991311024
0.07,9156.324489084594,12400.450850284333,26142.549591565097,55074.0903209701,76440.10079534109,29125.817065221963
0.08,7592.098284603385,11086.933750737446,26154.939511508608,60497.65883895245,80560.0637662747,29206.165030193144
0.09,6050.865828639469,9699.807546524771,25189.854430781805,65519.062933444504,98977.39173034651,29802.13716020076
0.1,5132.594079075158,7618.4653285357035,22835.936429944108,71019.09830362846,101213.2342186658,28970.785405722723
0.11,3502.309339391843,6363.78018072694,22911.65235169299,75877.08844313792,134937.55895979473,29554.46889777083
0.12,3846.161378312827,6489.308949504381,21601.120312874264,77243.74311252538,144877.55878509794,29469.080223482742
0.13,2580.112821443875,4641.770990602612,21376.580930239972,84527.27758720258,164967.8484072988,31343.538368579004
0.14,1868.4245865519606,3689.1594496657144,18373.942889776365,85035.75430932062,143293.37032749568,28322.749444831035
0.15,1630.208662497981,3823.028191510064,19075.89355608737,97310.30536741357,218687.624270867,31369.147198068968
0.16,1272.5512330788918,2482.734070015789,17984.6477964198,95295.23195749857,210375.4761574337,29844.406995515197
0.17,988.4101584810676,2156.353415578962,15647.325352519434,96177.67967208746,168256.28786144938,28490.81314546854
0.18,702.6009747323295,1908.3880742549336,14672.040434326402,106742.33800067024,217050.6461345109,31208.272026405193
0.19,657.4272621850339,1448.119685461607,13622.885091028731,105464.16593513088,268570.86686775385,30751.67810955547
0.2,386.50134436119737,1153.9776426810768,12293.737778179635,101802.58122033697,218685.65696460372,27259.683365220466
0.21,375.70964267889,911.3662546299365,11069.981252864458,132346.75770959497,309335.08036957023,30203.200788169383
0.22,251.12780878395625,634.9963880661259,10307.228056808246,120565.02248618478,307194.3084404949,31639.449948997906
0.23,163.9176389669501,488.0146473518209,8207.060357491988,108174.50430819164,302564.84203590424,26997.124502651946
0.24,140.50678597630008,422.5057981113412,7881.95899011986,103786.6074147866,291682.56724905747,29944.282780312373
0.25,79.73232547579559,331.95275895358867,7022.482032818542,115707.5476292274,382030.8832719064,27697.47472821097
0.26,52.71238213167573,243.97942855930305,5848.046333710703,108308.67003670287,277118.2146146803,26037.985603877245
0.27,47.490355288867704,172.09895013484723,4600.68163733192,118294.65486656936,372408.5257491816,28782.633536017318
0.28,16.135017835235654,105.50341705360748,4088.780310743261,101826.80406101374,287704.9956197802,24686.442359413053
0.29,11.880583947922231,134.95398679730465,4024.4805719238675,111532.98175919459,403383.55311536556,35050.08694803173
0.3,4.0826910451159755,76.81038362525985,3515.4921229655165,114383.07732162351,486666.38575196045,32122.199400566577
0.31,0.0,31.51458560825481,2436.987386292755,111478.52587708813,314515.2532301014,25060.3134068678
0.32,0.0,7.815318122017575,1887.1186321485084,117609.8343837841,329882.429710801,24527.622821736517
0.33,0.0,6.620142661369059,1952.8153115209725,109815.14321577102,360266.5555467147,25252.826633128607
0.34,0.0,2.8386032422713243,1156.73912093343,65459.31255339557,335986.1597542572,19901.495014197313
0.35,0.0,0.0,1185.8692761565271,76008.769838871,245002.7787212012,20932.877900008916
0.36,0.0,0.0,854.4257627037566,83552.68656522829,241642.0897648531,33538.65103871615
0.37,0.0,0.0,675.2236638718733,85411.62872886125,571474.9313187045,36351.09054992837
0.38,0.0,0.0,516.7883204019664,87061.89197782612,624380.9577886219,46342.23192503584
0.39,0.0,0.0,265.4125949754854,55099.218764706275,326715.64912730985,18563.190209411965
0.4,0.0,0.0,156.5452021189048,61703.6911028965,486502.6152285835,27282.530005885008
0.41,0.0,0.0,155.01690895461974,48977.910859173506,561733.2410783119,30034.18020715035
0.42,0.0,0.0,78.08688759901993,47940.20554127155,479192.2916233874,31019.67939638113
0.43,0.0,0.0,44.04241869479153,42779.57102575843,261033.73992269798,14167.23257687861
0.44,0.0,0.0,27.08447165799266,41514.64264035196,414522.7759698156,30329.36300703995
0.45,0.0,0.0,14.317471844214978,43272.570199885944,347457.16595436586,22940.648127873555
0.46,0.0,0.0,1.9717611419914842,30025.61990090679,178013.70618022446,12860.437123167234
0.47,0.0,0.0,0.01230754708654929,20733.643985489387,354992.54143320274,53754.42333720297
0.48,0.0,0.0,0.14067342102063668,32303.369757653032,482947.9196412188,22797.85210790358
0.49,0.0,0.0,0.0,9895.762440695635,206160.11868060916,21764.414406915916
0.5,0.0,0.0,0.0,15665.994345917989,278390.88928648864,18254.734277995878
